Product Name,Advisory Number,Date Posted
TL® Allopurinol 0.1g Tablet,FDA Advisory No. 2020-1614,2020-09-18
BF® Fusidic Acid Cream 10g,FDA Advisory No. 2020-1615,2020-09-18
Cisen® Levofloxacin Hydrochloride Eye Drops – Yansuan Zuoyangfushaxing Diyanye,FDA Advisory No. 2020-1615,2020-09-18
Label in foreign language,FDA Advisory No. 2020-1615,2020-09-18
OTC Ranitidine Hydrochloride Capsules,FDA Advisory No. 2020-1615,2020-09-18
Smecta® Montmorillonite Powder 3g,FDA Advisory No. 2020-1615,2020-09-18
OTC Bohetong Xiruji,FDA Advisory No. 2020-1616,2020-09-18
OTC Chenxiang Lubailu Pian,FDA Advisory No. 2020-1616,2020-09-18
OTC Clotrimazole Solution 8ml,FDA Advisory No. 2020-1616,2020-09-18
Santen Sante FX 12ml,FDA Advisory No. 2020-1616,2020-09-18
Fuyankang Pian 0.25g,FDA Advisory No. 2020-1617,2020-09-18
KBN® Cefixime Capsules 100mg,FDA Advisory No. 2020-1617,2020-09-18
OTC Shaotangshang Gao,FDA Advisory No. 2020-1617,2020-09-18
OTC Tianma Jiaonang,FDA Advisory No. 2020-1617,2020-09-18
ShenglingcaoTM Shirunshaoshang 18g,FDA Advisory No. 2020-1617,2020-09-18
CISEN® Fluconazole and Sodium Chloride Injection 100ml:0.2g:0.9g,FDA Advisory No. 2020-1680,2020-09-23
Lysine Acetylsalicylate for Injection 0.9g,FDA Advisory No. 2020-1680,2020-09-23
OTC Chuanbei Qingfeitangjiang,FDA Advisory No. 2020-1680,2020-09-23
OTC Loratadine Syrup 60mL,FDA Advisory No. 2020-1680,2020-09-23
Raceanisodamine Hydrochloride Injection 1ml : 10mg,FDA Advisory No. 2020-1680,2020-09-23
Citiconline Sodium Injection 2ml:0.25g,FDA Advisory No. 2020-1681,2020-09-24
Hasen® Cimetidine Injection 2ml:0.2g,FDA Advisory No. 2020-1681,2020-09-24
Shenmai Zhusheye 10mL [as reflected in the package insert],FDA Advisory No. 2020-1681,2020-09-24
Xian Zhu Li 15mL,FDA Advisory No. 2020-1681,2020-09-24
[Label in Foreign Language],FDA Advisory No. 2020-1681,2020-09-24
Coenzyme A for Injection,FDA Advisory No. 2020-1682,2020-09-24
OTC Compound Flavescent Sophora and Salicylic Acid Powder Fufang Kushen Shuiyangsuan San [as reflected in the secondary packaging],FDA Advisory No. 2020-1682,2020-09-24
OTC She Dan Chuan Bei Ye 10mL,FDA Advisory No. 2020-1682,2020-09-24
Sanqi Shangyao Pian,FDA Advisory No. 2020-1682,2020-09-24
Zhennaoning Jiaonang,FDA Advisory No. 2020-1682,2020-09-24
Cusuan Ponisong Pian,FDA Advisory No. 2020-1683,2020-09-24
Nysfungin Tablets,FDA Advisory No. 2020-1683,2020-09-24
OTC Chlorphenamine Maleate Tablets,FDA Advisory No. 2020-1683,2020-09-24
OTC H21022140 [Label in Foreign Language],FDA Advisory No. 2020-1683,2020-09-24
SPH Ding Lu Brand® Haizhu Chuanxiding Pian,FDA Advisory No. 2020-1683,2020-09-24
OTC Cimetidine Tablets,FDA Advisory No. 2020-1684,2020-09-25
OTC Houtoujun Pian,FDA Advisory No. 2020-1684,2020-09-25
OTC Miaoshou® Vitamin B2 Tablets,FDA Advisory No. 2020-1684,2020-09-25
OTC Z35020252 [Label in Foreign Language],FDA Advisory No. 2020-1684,2020-09-25
WY® Metamizole Sodium Tablets 0.5g,FDA Advisory No. 2020-1684,2020-09-25
H44023966 [Label in Foreign Language],FDA Advisory No. 2020-1685,2020-09-25
Moroxydine Hydrochloride Tablets 0.1g,FDA Advisory No. 2020-1685,2020-09-25
OTC Inosine Tablets,FDA Advisory No. 2020-1685,2020-09-25
OTC Vitamin C Tablets,FDA Advisory No. 2020-1685,2020-09-25
